file,type,line,frame
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Assertion Roulette,"{'column': 4, 'line': 128}","  126 |     const tgbot = new TelegramBot('token', { filepath: false });
  44 |           return;
  45 |         }
  46 |         const [{ [type]: data }] = bot._formatSendData(type, stream);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/test.format-send-data.js,Ignored Test,"{'line': 74, 'column': 15, 'index': 2501}","  72 |       it('(2) Stream#path', function test() {
  73 |         if (!stream.path) {
> 74 |           this.skip('Stream#path unsupported');
     |               ^ Ignored Test
  75 |           return;
  76 |         }
  77 |         const [{ [type]: data }] = bot._formatSendData(type, stream);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 176}","  174 |       const myBot = new TelegramBot(12345, { polling: true });
  175 |       myBot.once('polling_error', (error) => {
> 176 |         assert.ok(error);
      |        ^ Assertion Roulette
  177 |         assert.strictEqual(error.code, 'ETELEGRAM');
  178 |         return myBot.stopPolling().then(() => { done(); }).catch(done);
  179 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 177}","  175 |       myBot.once('polling_error', (error) => {
  176 |         assert.ok(error);
> 177 |         assert.strictEqual(error.code, 'ETELEGRAM');
      |        ^ Assertion Roulette
  178 |         return myBot.stopPolling().then(() => { done(); }).catch(done);
  179 |       });
  180 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 189}","  187 |     it('(webhook) emits ""webhook_error"" if could not parse webhook request body', function test(done) {
  188 |       botWebHook.once('webhook_error', (error) => {
> 189 |         assert.ok(error);
      |        ^ Assertion Roulette
  190 |         assert.strictEqual(error.code, 'EPARSE');
  191 |         return done();
  192 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 190}","  188 |       botWebHook.once('webhook_error', (error) => {
  189 |         assert.ok(error);
> 190 |         assert.strictEqual(error.code, 'EPARSE');
      |        ^ Assertion Roulette
  191 |         return done();
  192 |       });
  193 |       utils.sendWebHookMessage(webHookPort2, TOKEN, { update: 'unparseable!', json: false });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 258}","  256 |       return myBot.sendMessage(USERID, 'text').catch(error => {
  257 |         // FIX: assert.ok(error instanceof TelegramBot.errors.FatalError);
> 258 |         assert.strictEqual(error.code, 'EFATAL');
      |        ^ Assertion Roulette
  259 |         assert.ok(error.message.indexOf('not provided') > -1);
  260 |       });
  261 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 259}","  257 |         // FIX: assert.ok(error instanceof TelegramBot.errors.FatalError);
  258 |         assert.strictEqual(error.code, 'EFATAL');
> 259 |         assert.ok(error.message.indexOf('not provided') > -1);
      |        ^ Assertion Roulette
  260 |       });
  261 |     });
  262 |     it('FatalError is thrown if file-type of Buffer could not be determined', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 271}","  269 |       return bot.sendPhoto(USERID, buffer).catch(error => {
  270 |         // FIX: assert.ok(error instanceof TelegramBot.errors.FatalError);
> 271 |         assert.strictEqual(error.code, 'EFATAL');
      |        ^ Assertion Roulette
  272 |         assert.ok(error.message.indexOf('Unsupported') > -1);
  273 |       });
  274 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 272}","  270 |         // FIX: assert.ok(error instanceof TelegramBot.errors.FatalError);
  271 |         assert.strictEqual(error.code, 'EFATAL');
> 272 |         assert.ok(error.message.indexOf('Unsupported') > -1);
      |        ^ Assertion Roulette
  273 |       });
  274 |     });
  275 |     it('FatalError is thrown on network error', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 287}","  285 |       botParse.sendMessage(USERID, 'text').catch(error => {
  286 |         // FIX: assert.ok(error instanceof TelegramBot.errors.ParseError);
> 287 |         assert.strictEqual(error.code, 'EPARSE');
      |        ^ Assertion Roulette
  288 |         assert.ok(typeof error.response === 'object');
  289 |         assert.ok(typeof error.response.body === 'string');
  290 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 288}","  286 |         // FIX: assert.ok(error instanceof TelegramBot.errors.ParseError);
  287 |         assert.strictEqual(error.code, 'EPARSE');
> 288 |         assert.ok(typeof error.response === 'object');
      |        ^ Assertion Roulette
  289 |         assert.ok(typeof error.response.body === 'string');
  290 |       });
  291 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 289}","  287 |         assert.strictEqual(error.code, 'EPARSE');
  288 |         assert.ok(typeof error.response === 'object');
> 289 |         assert.ok(typeof error.response.body === 'string');
      |        ^ Assertion Roulette
  290 |       });
  291 |     });
  292 |     it('TelegramError is thrown if error is from Telegram', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 295}","  293 |       return bot.sendMessage('404', 'text').catch(error => {
  294 |         // FIX: assert.ok(error instanceof TelegramBot.errors.TelegramError);
> 295 |         assert.strictEqual(error.code, 'ETELEGRAM');
      |        ^ Assertion Roulette
  296 |         assert.ok(typeof error.response === 'object');
  297 |         assert.ok(typeof error.response.body === 'object');
  298 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 296}","  294 |         // FIX: assert.ok(error instanceof TelegramBot.errors.TelegramError);
  295 |         assert.strictEqual(error.code, 'ETELEGRAM');
> 296 |         assert.ok(typeof error.response === 'object');
      |        ^ Assertion Roulette
  297 |         assert.ok(typeof error.response.body === 'object');
  298 |       });
  299 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 297}","  295 |         assert.strictEqual(error.code, 'ETELEGRAM');
  296 |         assert.ok(typeof error.response === 'object');
> 297 |         assert.ok(typeof error.response.body === 'object');
      |        ^ Assertion Roulette
  298 |       });
  299 |     });
  300 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 312}","  310 |         // TODO: check for error in a better way
  311 |         // FIX: assert.ok(err instanceof TelegramBot.errors.FatalError);
> 312 |         assert.strictEqual(err.code, 'EFATAL');
      |        ^ Assertion Roulette
  313 |         assert.ok(err.message.indexOf('mutually exclusive') !== -1);
  314 |       });
  315 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 313}","  311 |         // FIX: assert.ok(err instanceof TelegramBot.errors.FatalError);
  312 |         assert.strictEqual(err.code, 'EFATAL');
> 313 |         assert.ok(err.message.indexOf('mutually exclusive') !== -1);
      |        ^ Assertion Roulette
  314 |       });
  315 |     });
  316 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 354}","  352 |         // TODO: check for error in a better way
  353 |         // FIX: assert.ok(err instanceof TelegramBot.errors.FatalError);
> 354 |         assert.strictEqual(err.code, 'EFATAL');
      |        ^ Assertion Roulette
  355 |         assert.ok(err.message.indexOf('mutually exclusive') !== -1);
  356 |       });
  357 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 355}","  353 |         // FIX: assert.ok(err instanceof TelegramBot.errors.FatalError);
  354 |         assert.strictEqual(err.code, 'EFATAL');
> 355 |         assert.ok(err.message.indexOf('mutually exclusive') !== -1);
      |        ^ Assertion Roulette
  356 |       });
  357 |     });
  358 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 425}","  423 |     it('should return WebhookInfo', function test() {
  424 |       return bot.getWebHookInfo().then(resp => {
> 425 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  426 |         assert.ok(is.boolean(resp.has_custom_certificate));
  427 |         assert.ok(is.number(resp.pending_update_count));
  428 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 426}","  424 |       return bot.getWebHookInfo().then(resp => {
  425 |         assert.ok(is.object(resp));
> 426 |         assert.ok(is.boolean(resp.has_custom_certificate));
      |        ^ Assertion Roulette
  427 |         assert.ok(is.number(resp.pending_update_count));
  428 |       });
  429 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 427}","  425 |         assert.ok(is.object(resp));
  426 |         assert.ok(is.boolean(resp.has_custom_certificate));
> 427 |         assert.ok(is.number(resp.pending_update_count));
      |        ^ Assertion Roulette
  428 |       });
  429 |     });
  430 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 471}","  469 |     it('should return an User object', function test() {
  470 |       return bot.getMe().then(resp => {
> 471 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  472 |         assert.ok(is.number(resp.id));
  473 |         assert.ok(is.string(resp.first_name));
  474 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 472}","  470 |       return bot.getMe().then(resp => {
  471 |         assert.ok(is.object(resp));
> 472 |         assert.ok(is.number(resp.id));
      |        ^ Assertion Roulette
  473 |         assert.ok(is.string(resp.first_name));
  474 |       });
  475 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 473}","  471 |         assert.ok(is.object(resp));
  472 |         assert.ok(is.number(resp.id));
> 473 |         assert.ok(is.string(resp.first_name));
      |        ^ Assertion Roulette
  474 |       });
  475 |     });
  476 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 10, 'line': 486}","  484 |       return bot.getFileLink(FILE_ID)
  485 |         .then(fileURI => {
> 486 |           assert.ok(is.string(fileURI));
      |          ^ Assertion Roulette
  487 |           assert.ok(utils.isTelegramFileURI(fileURI));
  488 |         });
  489 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 10, 'line': 487}","  485 |         .then(fileURI => {
  486 |           assert.ok(is.string(fileURI));
> 487 |           assert.ok(utils.isTelegramFileURI(fileURI));
      |          ^ Assertion Roulette
  488 |         });
  489 |     });
  490 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 6, 'line': 499}","  497 |     it('should get a file stream', function test(done) {
  498 |       const fileStream = bot.getFileStream(FILE_ID);
> 499 |       assert.ok(fileStream instanceof stream.Readable);
      |      ^ Assertion Roulette
  500 |       assert.strictEqual(fileStream.path, FILE_ID);
  501 |       fileStream.on('info', (info) => {
  502 |         assert.ok(info);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 6, 'line': 500}","  498 |       const fileStream = bot.getFileStream(FILE_ID);
  499 |       assert.ok(fileStream instanceof stream.Readable);
> 500 |       assert.strictEqual(fileStream.path, FILE_ID);
      |      ^ Assertion Roulette
  501 |       fileStream.on('info', (info) => {
  502 |         assert.ok(info);
  503 |         assert.ok(utils.isTelegramFileURI(info.uri), `${info.uri} is not a file URI`);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 502}","  500 |       assert.strictEqual(fileStream.path, FILE_ID);
  501 |       fileStream.on('info', (info) => {
> 502 |         assert.ok(info);
      |        ^ Assertion Roulette
  503 |         assert.ok(utils.isTelegramFileURI(info.uri), `${info.uri} is not a file URI`);
  504 |         fileStream.pipe(concat(function readFile(buffer) {
  505 |           buffer.equals(fs.readFileSync(FILE_PATH)); // sync :("
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 10, 'line': 521}","  519 |       return bot.downloadFile(FILE_ID, downloadPath)
  520 |         .then(filePath => {
> 521 |           assert.ok(is.string(filePath));
      |          ^ Assertion Roulette
  522 |           assert.strictEqual(path.dirname(filePath), downloadPath);
  523 |           assert.ok(fs.existsSync(filePath));
  524 |           fs.unlinkSync(filePath); // Delete file after test"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 10, 'line': 522}","  520 |         .then(filePath => {
  521 |           assert.ok(is.string(filePath));
> 522 |           assert.strictEqual(path.dirname(filePath), downloadPath);
      |          ^ Assertion Roulette
  523 |           assert.ok(fs.existsSync(filePath));
  524 |           fs.unlinkSync(filePath); // Delete file after test
  525 |         });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 10, 'line': 523}","  521 |           assert.ok(is.string(filePath));
  522 |           assert.strictEqual(path.dirname(filePath), downloadPath);
> 523 |           assert.ok(fs.existsSync(filePath));
      |          ^ Assertion Roulette
  524 |           fs.unlinkSync(filePath); // Delete file after test
  525 |         });
  526 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 533}","  531 |       const regexp = /\/onText (.+)/;
  532 |       botWebHook.onText(regexp, (msg, match) => {
> 533 |         assert.strictEqual(match[1], 'ECHO ALOHA');
      |        ^ Assertion Roulette
  534 |         assert.ok(botWebHook.removeTextListener(regexp));
  535 |         return done();
  536 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 534}","  532 |       botWebHook.onText(regexp, (msg, match) => {
  533 |         assert.strictEqual(match[1], 'ECHO ALOHA');
> 534 |         assert.ok(botWebHook.removeTextListener(regexp));
      |        ^ Assertion Roulette
  535 |         return done();
  536 |       });
  537 |       utils.sendWebHookMessage(webHookPort2, TOKEN, {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 544}","  542 |       const regexp = /\/onText (.+)/g;
  543 |       botWebHook.onText(regexp, () => {
> 544 |         assert.strictEqual(regexp.lastIndex, 0);
      |        ^ Assertion Roulette
  545 |         assert.ok(botWebHook.removeTextListener(regexp));
  546 |         return done();
  547 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 545}","  543 |       botWebHook.onText(regexp, () => {
  544 |         assert.strictEqual(regexp.lastIndex, 0);
> 545 |         assert.ok(botWebHook.removeTextListener(regexp));
      |        ^ Assertion Roulette
  546 |         return done();
  547 |       });
  548 |       utils.sendWebHookMessage(webHookPort2, TOKEN, {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 6, 'line': 582}","  580 |       const id = bot.onReplyToMessage(chatId, messageId, callback);
  581 |       const replyListener = bot.removeReplyListener(id);
> 582 |       assert.strictEqual(id, replyListener.id);
      |      ^ Assertion Roulette
  583 |       assert.strictEqual(chatId, replyListener.chatId);
  584 |       assert.strictEqual(messageId, replyListener.messageId);
  585 |       assert.strictEqual(callback, replyListener.callback);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 6, 'line': 583}","  581 |       const replyListener = bot.removeReplyListener(id);
  582 |       assert.strictEqual(id, replyListener.id);
> 583 |       assert.strictEqual(chatId, replyListener.chatId);
      |      ^ Assertion Roulette
  584 |       assert.strictEqual(messageId, replyListener.messageId);
  585 |       assert.strictEqual(callback, replyListener.callback);
  586 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 6, 'line': 584}","  582 |       assert.strictEqual(id, replyListener.id);
  583 |       assert.strictEqual(chatId, replyListener.chatId);
> 584 |       assert.strictEqual(messageId, replyListener.messageId);
      |      ^ Assertion Roulette
  585 |       assert.strictEqual(callback, replyListener.callback);
  586 |     });
  587 |     it('returns `null` if missing', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 6, 'line': 585}","  583 |       assert.strictEqual(chatId, replyListener.chatId);
  584 |       assert.strictEqual(messageId, replyListener.messageId);
> 585 |       assert.strictEqual(callback, replyListener.callback);
      |      ^ Assertion Roulette
  586 |     });
  587 |     it('returns `null` if missing', function test() {
  588 |       // NOTE: '0' is never a valid reply listener ID :)"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 605}","  603 |     it('should send a message', function test() {
  604 |       return bot.sendMessage(USERID, 'test').then(resp => {
> 605 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  606 |         assert.ok(is.number(resp.message_id));
  607 |       });
  608 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 606}","  604 |       return bot.sendMessage(USERID, 'test').then(resp => {
  605 |         assert.ok(is.object(resp));
> 606 |         assert.ok(is.number(resp.message_id));
      |        ^ Assertion Roulette
  607 |       });
  608 |     });
  609 |   });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 12, 'line': 621}","  619 |         return bot.forwardMessage(USERID, USERID, messageId)
  620 |           .then(forwarded => {
> 621 |             assert.ok(is.object(forwarded));
      |            ^ Assertion Roulette
  622 |             assert.ok(is.number(forwarded.message_id));
  623 |           });
  624 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 12, 'line': 622}","  620 |           .then(forwarded => {
  621 |             assert.ok(is.object(forwarded));
> 622 |             assert.ok(is.number(forwarded.message_id));
      |            ^ Assertion Roulette
  623 |           });
  624 |       });
  625 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 12, 'line': 638}","  636 |         return bot.copyMessage(USERID, USERID, messageId)
  637 |           .then(copy => {
> 638 |             assert.ok(is.object(copy));
      |            ^ Assertion Roulette
  639 |             assert.ok(is.number(copy.message_id));
  640 |           });
  641 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 12, 'line': 639}","  637 |           .then(copy => {
  638 |             assert.ok(is.object(copy));
> 639 |             assert.ok(is.number(copy.message_id));
      |            ^ Assertion Roulette
  640 |           });
  641 |       });
  642 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 654}","  652 |       const photo = `${__dirname}/data/photo.png`;
  653 |       return bot.sendPhoto(USERID, photo).then(resp => {
> 654 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  655 |         assert.ok(is.array(resp.photo));
  656 |         photoId = resp.photo[0].file_id;
  657 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 655}","  653 |       return bot.sendPhoto(USERID, photo).then(resp => {
  654 |         assert.ok(is.object(resp));
> 655 |         assert.ok(is.array(resp.photo));
      |        ^ Assertion Roulette
  656 |         photoId = resp.photo[0].file_id;
  657 |       });
  658 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 663}","  661 |       const photo = photoId;
  662 |       return bot.sendPhoto(USERID, photo).then(resp => {
> 663 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  664 |         assert.ok(is.array(resp.photo));
  665 |       });
  666 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 664}","  662 |       return bot.sendPhoto(USERID, photo).then(resp => {
  663 |         assert.ok(is.object(resp));
> 664 |         assert.ok(is.array(resp.photo));
      |        ^ Assertion Roulette
  665 |       });
  666 |     });
  667 |     it('should send a photo from fs.readStream', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 670}","  668 |       const photo = fs.createReadStream(`${__dirname}/data/photo.png`);
  669 |       return bot.sendPhoto(USERID, photo).then(resp => {
> 670 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  671 |         assert.ok(is.array(resp.photo));
  672 |       });
  673 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 671}","  669 |       return bot.sendPhoto(USERID, photo).then(resp => {
  670 |         assert.ok(is.object(resp));
> 671 |         assert.ok(is.array(resp.photo));
      |        ^ Assertion Roulette
  672 |       });
  673 |     });
  674 |     it('should send a photo from request Stream', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 677}","  675 |       const photo = request(`${staticUrl}/photo.png`);
  676 |       return bot.sendPhoto(USERID, photo).then(resp => {
> 677 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  678 |         assert.ok(is.array(resp.photo));
  679 |       });
  680 |     });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 678}","  676 |       return bot.sendPhoto(USERID, photo).then(resp => {
  677 |         assert.ok(is.object(resp));
> 678 |         assert.ok(is.array(resp.photo));
      |        ^ Assertion Roulette
  679 |       });
  680 |     });
  681 |     it('should send a photo from a Buffer', function test() {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/node-telegram-bot-api/test/telegram.js,Assertion Roulette,"{'column': 8, 'line': 684}","  682 |       const photo = fs.readFileSync(`${__dirname}/data/photo.png`);
  683 |       return bot.sendPhoto(USERID, photo).then(resp => {
> 684 |         assert.ok(is.object(resp));
      |        ^ Assertion Roulette
  685 |         assert.ok(is.array(resp.photo));
  686 |       });
  687 |     });"
